Data Zone 2011,All occupied households
S01006506,491
S01006507,366
S01006508,292
S01006509,270
S01006510,297
S01006511,310
S01006512,255
S01006513,417
S01006514,376
S01006515,279
S01006516,196
S01006517,831
S01006518,250
S01006519,292
S01006520,231
S01006521,288
S01006522,268
S01006523,410
S01006524,385
S01006525,367
S01006526,435
S01006527,340
S01006528,487
S01006529,516
S01006530,348
S01006531,416
S01006532,310
S01006533,324
S01006534,412
S01006535,588
S01006536,514
S01006537,349
S01006538,242
S01006539,343
S01006540,429
S01006541,428
S01006542,517
S01006543,360
S01006544,516
S01006545,567
S01006546,264
S01006547,1008
S01006548,310
S01006549,399
S01006550,386
S01006551,320
S01006552,458
S01006553,398
S01006554,380
S01006555,234
S01006556,391
S01006557,389
S01006558,349
S01006559,255
S01006560,458
S01006561,333
S01006562,423
S01006563,413
S01006564,528
S01006565,451
S01006566,461
S01006567,481
S01006568,603
S01006569,289
S01006570,361
S01006571,521
S01006572,377
S01006573,292
S01006574,431
S01006575,408
S01006576,322
S01006577,429
S01006578,636
S01006579,550
S01006580,405
S01006581,390
S01006582,519
S01006583,405
S01006584,398
S01006585,507
S01006586,844
S01006587,390
S01006588,405
S01006589,360
S01006590,399
S01006591,374
S01006592,354
S01006593,364
S01006594,353
S01006595,526
S01006596,400
S01006597,321
S01006598,379
S01006599,521
S01006600,561
S01006601,507
S01006602,408
S01006603,318
S01006604,293
S01006605,357
S01006606,385
S01006607,366
S01006608,1022
S01006609,436
S01006610,240
S01006611,433
S01006612,358
S01006613,234
S01006614,261
S01006615,264
S01006616,325
S01006617,359
S01006618,225
S01006619,335
S01006620,369
S01006621,231
S01006622,304
S01006623,460
S01006624,548
S01006625,268
S01006626,283
S01006627,454
S01006628,529
S01006629,348
S01006630,303
S01006631,477
S01006632,372
S01006633,280
S01006634,246
S01006635,298
S01006636,388
S01006637,358
S01006638,503
S01006639,614
S01006640,477
S01006641,602
S01006642,495
S01006643,372
S01006644,634
S01006645,361
S01006646,319
S01006647,333
S01006648,608
S01006649,586
S01006650,393
S01006651,348
S01006652,327
S01006653,313
S01006654,467
S01006655,524
S01006656,490
S01006657,256
S01006658,744
S01006659,328
S01006660,226
S01006661,242
S01006662,270
S01006663,239
S01006664,229
S01006665,368
S01006666,671
S01006667,434
S01006668,409
S01006669,429
S01006670,387
S01006671,212
S01006672,340
S01006673,387
S01006674,499
S01006675,341
S01006676,321
S01006677,544
S01006678,727
S01006679,307
S01006680,439
S01006681,458
S01006682,376
S01006683,364
S01006684,390
S01006685,341
S01006686,263
S01006687,402
S01006688,495
S01006689,535
S01006690,299
S01006691,338
S01006692,339
S01006693,548
S01006694,530
S01006695,321
S01006696,365
S01006697,399
S01006698,396
S01006699,196
S01006700,393
S01006701,316
S01006702,328
S01006703,280
S01006704,275
S01006705,404
S01006706,273
S01006707,220
S01006708,374
S01006709,435
S01006710,413
S01006711,445
S01006712,248
S01006713,448
S01006714,309
S01006715,212
S01006716,234
S01006717,426
S01006718,246
S01006719,374
S01006720,258
S01006721,338
S01006722,293
S01006723,275
S01006724,314
S01006725,267
S01006726,262
S01006727,469
S01006728,331
S01006729,436
S01006730,266
S01006731,261
S01006732,738
S01006733,323
S01006734,355
S01006735,243
S01006736,397
S01006737,643
S01006738,863
S01006739,812
S01006740,329
S01006741,336
S01006742,227
S01006743,440
S01006744,291
S01006745,463
S01006746,387
S01006747,483
S01006748,791
S01006749,411
S01006750,284
S01006751,195
S01006752,330
S01006753,446
S01006754,396
S01006755,300
S01006756,280
S01006757,342
S01006758,308
S01006759,247
S01006760,251
S01006761,333
S01006762,745
S01006763,342
S01006764,347
S01006765,277
S01006766,237
S01006767,285
S01006768,213
S01006769,393
S01006770,269
S01006771,150
S01006772,371
S01006773,338
S01006774,221
S01006775,466
S01006776,296
S01006777,261
S01006778,287
S01006779,258
S01006780,226
S01006781,272
S01006782,392
S01006783,255
S01006784,283
S01006785,217
S01006786,330
S01006787,280
S01006788,874
S01006789,291
S01006790,456
S01006791,289
S01006792,188
S01006793,289
S01006794,283
S01006795,337
S01006796,379
S01006797,246
S01006798,260
S01006799,421
S01006800,342
S01006801,543
S01006802,330
S01006803,315
S01006804,308
S01006805,458
S01006806,472
S01006807,271
S01006808,271
S01006809,390
S01006810,399
S01006811,444
S01006812,352
S01006813,369
S01006814,306
S01006815,305
S01006816,291
S01006817,335
S01006818,325
S01006819,455
S01006820,314
S01006821,739
S01006822,418
S01006823,310
S01006824,382
S01006825,325
S01006826,358
S01006827,408
S01006828,457
S01006829,141
S01006830,311
S01006831,219
S01006832,436
S01006833,191
S01006834,164
S01006835,485
S01006836,234
S01006837,229
S01006838,251
S01006839,397
S01006840,397
S01006841,319
S01006842,305
S01006843,316
S01006844,325
S01006845,371
S01006846,242
S01006847,245
S01006848,658
S01006849,664
S01006850,370
S01006851,337
S01006852,230
S01006853,372
S01006854,402
S01006855,330
S01006856,295
S01006857,488
S01006858,251
S01006859,414
S01006860,234
S01006861,199
S01006862,345
S01006863,306
S01006864,284
S01006865,480
S01006866,218
S01006867,308
S01006868,363
S01006869,207
S01006870,203
S01006871,266
S01006872,442
S01006873,478
S01006874,235
S01006875,335
S01006876,421
S01006877,390
S01006878,330
S01006879,325
S01006880,286
S01006881,237
S01006882,156
S01006883,219
S01006884,440
S01006885,457
S01006886,435
S01006887,290
S01006888,363
S01006889,347
S01006890,260
S01006891,434
S01006892,280
S01006893,198
S01006894,470
S01006895,306
S01006896,383
S01006897,298
S01006898,357
S01006899,240
S01006900,221
S01006901,277
S01006902,297
S01006903,396
S01006904,311
S01006905,415
S01006906,437
S01006907,417
S01006908,435
S01006909,461
S01006910,425
S01006911,254
S01006912,367
S01006913,940
S01006914,281
S01006915,341
S01006916,204
S01006917,324
S01006918,188
S01006919,200
S01006920,241
S01006921,274
S01006922,269
S01006923,377
S01006924,227
S01006925,200
S01006926,261
S01006927,369
S01006928,451
S01006929,289
S01006930,361
S01006931,148
S01006932,439
S01006933,220
S01006934,452
S01006935,307
S01006936,273
S01006937,341
S01006938,232
S01006939,238
S01006940,392
S01006941,241
S01006942,375
S01006943,210
S01006944,438
S01006945,201
S01006946,280
S01006947,311
S01006948,390
S01006949,274
S01006950,306
S01006951,203
S01006952,383
S01006953,305
S01006954,370
S01006955,261
S01006956,394
S01006957,402
S01006958,679
S01006959,363
S01006960,326
S01006961,324
S01006962,420
S01006963,285
S01006964,346
S01006965,216
S01006966,245
S01006967,262
S01006968,189
S01006969,402
S01006970,269
S01006971,264
S01006972,278
S01006973,329
S01006974,411
S01006975,436
S01006976,185
S01006977,307
S01006978,440
S01006979,433
S01006980,373
S01006981,329
S01006982,381
S01006983,285
S01006984,377
S01006985,460
S01006986,282
S01006987,313
S01006988,187
S01006989,496
S01006990,295
S01006991,221
